Entry,Identity,M+.,[M+H]+,CCS (Å2),SourceCCS,Retention time (min),SourceRT,Retention index,Type
214,"2-[2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethoxy]ethanol",294.219,295.2268,175.22,Predicted,19.4,Predicted,2151,Kovatas
215,Diclofenac,295.0162,296.024,158.05,Measured,20.45,Measured,817873,Fiehn
216,Norfluoxetine,295.1179,296.1257,164.04,Predicted,16.73,Predicted,1876,Kovatas
217,Didesmethylcitalopram ,296.132,297.1398,169.93,Predicted,21.65,Predicted,2415,Kovatas
218,17a-Ethynylestradiol,296.1771,297.1849,173.98,Predicted,23.88,Predicted,2707,Kovatas
219,"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione",297.0956,298.1034,164.68,Predicted,21.91,Predicted,2448,Kovatas
220,Pentachloronaphthalene 60,299.8643,300.8721,159.4,Predicted,17.62,Predicted,1964,Kovatas
221,Pentachloronaphthalene 53,299.8643,300.8721,155.7,Predicted,17.82,Predicted,1984,Kovatas
222,Pentachloronaphthalene 58,299.8643,300.8721,158.91,Predicted,18.77,Predicted,2083,Kovatas
223,Pentachloronaphthalene 61,299.8643,300.8721,159.18,Predicted,18.83,Predicted,2089,Kovatas
224,Pentachloronaphthalene 49,299.8643,300.8721,155.64,Predicted,18.88,Predicted,2095,Kovatas
225,Pentachloronaphthalene 59,299.8643,300.8721,158.24,Predicted,18.98,Predicted,2106,Kovatas
226,Pentachloronaphthalene 62,299.8643,300.8721,158.8,Predicted,19.23,Predicted,2133,Kovatas
227,Pentachloronaphthalene 57,299.8643,300.8721,158.71,Predicted,19.24,Predicted,2134,Kovatas
228,Pentachloronaphthalene 50,299.8643,300.8721,154.97,Predicted,19.33,Predicted,2144,Kovatas
229,Pentachloronaphthalene 56,299.8643,300.8721,156.84,Predicted,19.38,Predicted,2149,Kovatas
230,Pentachloronaphthalene 55,299.8643,300.8721,156.79,Predicted,19.5,Predicted,2162,Kovatas
231,Pentachloronaphthalene 54,299.8643,300.8721,157.09,Predicted,19.5,Predicted,2163,Kovatas
232,Pentachloronaphthalene 52,299.8643,300.8721,158.11,Predicted,19.7,Predicted,2185,Kovatas
233,Pentachloronaphthalene 51,299.8643,300.8721,156.71,Predicted,19.87,Predicted,2204,Kovatas
234,Mesterone ,302.2241,303.2319,177.54,Predicted,23.52,Predicted,2658,Kovatas
235,Cocaine,303.1466,304.1544,169.61,Predicted,19.63,Measured,2177,Kovatas
236,Diazinon,304.1006,305.1084,172.27,Measured,15.7,Measured,623685,Fiehn
237,Sertraline,305.0733,306.0811,171.42,Predicted,16.62,Predicted,1865,Kovatas
238,Butyldiphenyl phosphate,306.1016,307.1094,172.16,Predicted,23.01,Predicted,2590,Kovatas
239,N-pentyl-iso-pentyl phthalate,306.1826,307.1904,184.14,Predicted,18.9,Predicted,700519,Fiehn
